“sample”,”error_0","error_1_e_minus_5","error_1_e_minus_4","error_1_e_minus_3","error_1_e_minus_2","error_1_e_minus_1","error_2_e_minus_1","error_3_e_minus_1","error_4_e_minus_1","error_5_e_minus_1","error_6_e_minus_1","error_7_e_minus_1","error_8_e_minus_1"
"332",38,47,70,80,116,460,838,1215,1803,2334,3607,5234,9486
"333",39,50,45,67,118,472,795,1101,1786,2452,3812,5249,8988
"334",40,56,48,72,140,384,799,1177,1750,2660,3638,5118,8874
"335",41,47,60,62,128,438,827,1232,1857,2394,3704,5176,8709
"336",42,31,51,65,112,470,795,1155,1822,2546,3617,5484,9226
"337",41,40,63,63,133,336,732,1198,1933,2641,3588,5447,9855
"338",42,31,63,70,114,449,826,1161,1734,2394,3770,6295,8600
"339",36,39,75,69,119,391,791,1174,1716,2871,3721,5805,9074
"340",24,43,56,73,103,425,922,1173,1786,2421,3657,5383,8679
"341",28,50,66,101,115,453,773,1237,1689,2419,3767,5256,9136
"342",33,46,86,51,102,446,755,1141,1816,2557,3660,5566,9525
"343",33,55,44,61,127,373,788,1107,1744,2677,3697,5302,9841
"344",33,52,56,68,114,439,784,1189,1772,2593,3926,5543,10108
"345",37,51,55,60,114,343,734,1153,1780,2582,3880,5547,9242
"346",31,65,47,77,97,386,752,1399,1811,2721,3540,5868,9336
"347",36,77,65,55,98,395,847,1208,1778,2314,3780,5419,9175
"348",41,36,35,63,133,448,823,1263,1789,2572,3526,5387,8887
"349",58,55,32,67,106,447,782,1229,1842,2528,3857,5254,9242
"350",30,43,34,75,108,476,768,1138,1710,2452,3948,5997,9434
"351",25,38,36,61,126,431,771,1284,1687,2577,3674,5488,9101
"352",29,43,50,66,105,384,869,1172,1743,2664,3707,5659,8922
"353",27,40,66,81,100,407,760,1224,1740,2446,3573,5454,9113
"354",37,40,60,78,101,407,837,1080,1976,2495,3850,5517,9219
"355",35,39,54,84,99,411,745,1185,1909,2416,3577,6116,8993
"356",39,43,66,84,109,429,791,1161,1830,2503,3666,5599,9651
"357",36,55,65,85,126,439,800,1159,1689,2712,3838,5729,9907
"358",35,71,77,75,97,447,742,1121,1846,2491,3759,5791,9223
"359",39,34,63,79,112,419,821,1204,1817,2543,3395,5525,9454
"360",40,34,29,48,122,390,747,1211,1729,2481,3860,5380,9808
"361",31,37,45,50,122,425,843,1353,1881,2576,3576,5571,9339
"362",28,44,61,54,138,484,717,1215,1756,2439,3585,5601,9316
"363",29,54,62,58,119,412,798,1206,1632,2458,3788,5718,9591
"364",31,64,58,58,119,395,730,1177,1752,2624,3872,5215,9531
"365",31,60,50,59,113,404,833,1254,1748,2575,3850,5589,9820
"366",31,45,63,62,100,435,724,1178,1813,2456,3977,5559,8933
"367",31,48,67,62,104,386,744,1197,1865,2826,3688,5338,8980
"368",36,74,69,61,131,458,794,1192,1847,2337,3692,5433,9042
"369",34,34,70,67,106,436,887,1095,1704,2449,3693,5766,9827
"370",39,35,72,79,96,377,782,1291,1761,2712,3753,5594,9707
"371",36,39,66,69,102,386,766,1195,1768,2448,3730,5772,9288
"372",37,46,81,81,101,401,796,1147,1806,2592,4014,5813,9388
"373",38,56,53,88,137,422,745,1118,1937,2436,3530,5532,9833
"374",57,51,43,68,118,413,736,1303,1918,2490,3666,5719,9022
"375",29,34,52,91,119,421,762,1175,1904,2433,3673,5630,9397
"376",30,38,65,80,138,416,847,1164,1826,2413,3658,5382,9435
"377",34,43,67,50,133,387,739,1144,1876,2447,3754,5738,9502
"378",36,43,58,57,111,432,823,1323,1884,2694,3916,5172,8981
"379",35,63,66,61,127,412,869,1195,1726,2615,3841,5581,9114
"380",44,57,65,81,110,470,818,1100,1824,2503,3638,5663,9145
"381",42,50,74,59,119,421,716,1133,1771,2352,3689,5832,9017
"382",34,58,52,77,127,400,910,1185,1649,2666,4003,5522,9014
"383",29,54,75,65,127,373,834,1258,1753,2516,3582,5886,9153
"384",27,68,57,63,128,409,792,1194,1861,2330,3854,5424,9326
"385",32,29,44,65,126,433,873,1216,1672,2527,3445,5376,9871
"386",34,30,56,55,146,449,772,1098,1645,2586,3604,5618,8866
"387",34,33,67,62,120,352,803,1265,1782,2401,3488,5970,8885
"388",34,36,47,66,110,372,758,1208,1997,2457,3709,5332,9616
"389",38,37,59,66,100,471,727,1210,1714,2447,3542,5521,9612
"390",35,36,66,71,107,496,924,1102,1792,2784,3426,5387,9547
"391",40,48,71,68,128,450,792,1219,1799,2412,3385,5506,9155
"392",36,50,59,80,114,433,870,1289,1936,2566,3505,5438,10256
"393",35,55,74,80,108,393,806,1109,1793,2518,3831,5626,9280
"394",35,61,85,69,143,419,834,1146,1799,2519,3703,5286,8961
"395",39,56,64,82,85,461,781,1275,1659,2602,3463,5494,9438
"396",34,71,60,56,101,447,707,1246,1791,2520,3420,5857,9523
"397",38,36,62,48,85,398,839,1124,1767,2371,3399,5651,9318
"398",43,39,66,58,113,371,803,1078,1799,2531,3448,5782,9433
"399",62,63,69,60,106,480,720,1082,1835,2419,3647,5574,9712
"400",34,50,69,61,108,441,797,1186,1694,2389,3602,6095,9225
"401",36,52,70,63,88,388,709,1213,1759,2504,3415,6057,9219
"402",42,55,73,63,135,473,808,1223,1888,2533,3575,5669,9529
"403",40,52,71,59,86,396,690,1138,1784,2899,3483,5392,9657
"404",34,61,70,81,115,405,927,1223,1821,2479,3670,5801,9422
"405",25,66,84,82,120,491,849,1276,1645,2319,3296,5533,9098
"406",28,68,38,66,118,402,843,1251,1821,2613,3232,5887,9423
"407",33,33,47,67,111,432,801,1179,1751,2456,3324,5461,9521
"408",32,34,64,82,118,418,824,1152,1793,2518,3577,5542,9404
"409",32,41,62,68,133,374,860,1158,1868,2683,3490,5650,9338
"410",32,48,47,85,105,396,758,1151,1972,2553,3928,5967,9337
"411",31,51,60,89,130,398,849,1231,1839,2571,3290,5625,10524
"412",36,56,57,84,143,443,825,1197,1806,2494,3518,6098,9791
"413",35,31,52,71,140,366,777,1273,1701,2643,3625,5853,9324
"414",36,42,60,51,124,440,900,1109,1871,2459,3291,5700,9207
"415",39,32,81,71,116,481,864,1171,1883,2688,3547,5538,8367
"416",40,51,60,75,117,467,771,1458,1659,2296,3411,5450,9980
"417",39,45,67,58,91,381,856,1222,1634,2698,3517,5101,9387
"418",39,50,53,56,119,423,898,1134,1732,2750,3353,5517,9280
"419",38,51,68,65,152,476,799,1211,1750,2392,3441,5750,9059
"420",37,44,64,76,142,412,913,1128,1839,2505,3496,5899,9447
"421",38,44,71,69,108,390,741,1246,1897,2592,3531,5343,9746
"422",41,64,73,84,148,424,842,1180,1687,2473,3470,5745,8710
"423",42,35,60,65,117,422,833,1172,1696,2501,3498,5646,9714
"424",57,32,58,67,123,419,898,1126,1814,2424,3575,5466,9825
"425",37,32,65,72,134,432,728,1086,1764,2375,3572,5809,9245
"426",41,34,54,74,88,406,884,1144,1606,2543,3339,6300,9326
"427",29,36,67,74,132,389,831,1153,1743,2415,3457,5524,9616
"428",30,35,65,74,131,431,776,1148,1776,2470,3511,5883,9248
"429",35,41,51,99,129,397,805,1199,1611,2543,3395,6129,9307
"430",31,42,62,71,125,421,755,1224,1793,2603,3329,5222,9858
"431",34,41,54,51,161,425,813,1307,1796,2724,3219,5935,9794
"432",27,41,51,59,141,501,724,1098,1732,2683,3488,5372,9385
"433",37,45,56,57,127,423,896,1280,1781,2506,3344,5925,9277
"434",27,85,39,81,103,452,796,1135,1707,2446,3659,5867,9157
"435",35,40,37,73,117,425,788,1309,1864,2504,3384,5259,8646
"436",31,59,55,74,111,459,900,1192,1664,2658,3348,5599,9004
"437",28,49,60,64,124,377,951,1169,1771,2746,3248,5501,9314
"438",38,51,51,64,124,406,871,1254,1733,2498,3354,5624,9267
"439",31,46,66,79,118,428,791,1189,1760,2534,3513,5484,8910
"440",36,58,71,65,135,371,821,1124,1835,2435,3629,5582,9721
"441",41,47,66,68,138,429,880,1231,1844,2592,3596,5687,9789
"442",34,49,76,70,130,407,887,1230,1799,2325,3225,5529,9605
"443",38,65,55,69,117,501,749,1255,1903,2488,3852,5922,8759
"444",36,72,39,68,98,403,899,1236,1652,2405,3420,5537,9622
"445",41,31,53,90,97,395,873,1170,1767,2648,3575,5314,9463
"446",43,33,58,74,106,389,794,1262,1816,2489,3512,5617,9366
"447",30,52,62,100,107,369,776,1267,1827,2619,3435,5599,9446
"448",28,57,49,52,107,402,761,1235,1666,2850,3381,5454,9538
"449",27,53,45,69,123,434,858,1223,2048,2558,3475,5548,10022
"450",34,76,58,59,115,449,728,1217,1799,2479,3624,5634,8830
"451",35,59,52,61,137,403,843,1116,1962,2304,3496,5440,9239
"452",31,61,64,81,110,385,794,1285,1766,2525,3390,5331,9907
"453",37,55,59,58,85,428,861,1154,1741,2491,3324,5561,9305
"454",39,69,58,79,119,380,762,1256,1789,2464,3618,5821,10927
"455",33,37,29,62,100,469,907,1254,1902,2681,3626,5519,9765
"456",37,38,45,78,131,448,717,1265,1837,2582,3440,5502,9109
"457",55,51,56,60,84,430,750,1185,1678,2360,3364,5775,9283
"458",30,56,46,67,88,446,856,1203,1848,2497,3357,5282,10540
"459",29,46,41,79,84,463,821,1107,1593,2421,3544,5974,9569
"460",26,31,53,65,113,505,776,1196,1803,2456,3438,5668,9305
"461",29,41,49,86,95,388,910,1082,1787,2633,3464,5380,9500
"462",38,44,51,86,108,491,761,1235,1795,2371,3628,5484,9306
"463",35,41,69,67,136,362,832,1139,1872,2832,3421,5344,9105
"464",37,50,83,87,107,406,858,1223,2096,2799,3744,5756,9184
"465",38,49,42,84,118,438,830,1227,1686,2347,3770,6018,9171
"466",40,49,54,55,106,409,903,1222,1772,2752,3514,5691,9184
"467",41,51,65,58,119,398,861,1256,1779,2469,3439,5582,9249
"468",37,48,68,58,112,430,711,1192,1591,2832,3471,5653,10043
"469",28,78,54,70,124,431,856,1286,1878,2454,3654,6057,9518
"470",32,64,64,62,128,456,708,1110,1831,2430,3817,5337,9557
"471",32,72,56,73,93,419,811,1231,1787,2433,3631,5709,9875
"472",31,50,70,72,122,414,766,1155,1751,2695,3360,5521,9558
"473",33,45,56,62,129,412,770,1155,1833,2439,3535,5772,8977
"474",32,45,67,61,130,427,908,1187,1874,2414,3486,5554,9856
"475",37,45,31,69,133,383,798,1175,1618,2597,3467,5256,9832
"476",35,38,35,78,98,423,871,1177,1794,2533,3534,5570,9216
"477",30,44,55,80,96,499,886,1137,1750,2401,3596,5089,8897
"478",28,52,53,83,98,434,731,1194,1668,2653,3526,5507,9240
"479",28,57,65,65,108,414,897,1111,1610,2485,3377,5268,9597
"480",30,60,69,56,138,469,839,1332,1702,2453,3408,5499,9060
"481",41,61,73,64,108,386,828,1195,1915,2616,3688,5934,9346
"482",58,73,73,87,128,519,836,1220,1767,2532,3466,5516,9592
"483",29,33,36,44,129,396,773,1186,1874,2435,3583,5393,9489
"484",30,48,52,44,122,425,859,1289,1816,2599,3445,5321,9431
"485",27,44,65,52,126,448,753,1143,1753,2496,3528,5335,10143
"486",33,47,78,65,107,468,755,1294,1754,2728,3505,5586,9111
"487",41,46,34,54,126,415,789,1256,1701,2466,3645,5777,9268
"488",39,56,49,55,102,432,906,1088,1666,2320,3545,5271,8968
"489",40,52,38,79,131,405,906,1135,1826,2450,3665,5271,9299
"490",32,58,32,61,103,437,917,1205,1669,2449,3270,5688,9556
"491",24,61,35,77,117,431,901,1354,1727,2649,3511,5338,10459
"492",31,70,36,75,98,415,883,1176,1722,2475,3532,5988,8794
"493",31,39,41,67,129,406,828,1188,1634,2480,3611,5326,8814
"494",29,41,41,78,96,416,878,1197,1763,2527,3581,5186,9438
"495",30,45,59,68,129,483,819,1132,1721,2516,3515,5614,9087
"496",32,51,69,54,136,404,806,1244,1678,2623,3624,5557,9552
"497",35,62,67,59,132,393,803,1300,1657,2485,3839,5913,10108
"498",31,58,66,58,142,474,731,1156,1844,2310,3448,5343,9189
"499",39,50,56,57,150,411,861,1158,1844,2388,3515,5583,9266
"500",33,35,59,62,117,431,741,1142,1787,2430,3481,5472,9105
"501",31,66,44,63,119,427,761,1149,2051,2635,3619,5202,9562
"502",37,48,41,81,126,398,836,1397,1860,2313,3387,6093,9189
"503",37,53,56,64,87,393,902,1156,1839,2569,3651,5602,8976
"504",36,57,66,81,145,435,810,1169,1835,2587,3400,5203,9091
"505",39,59,66,80,116,475,920,1177,1741,2466,3515,5705,8637
"506",40,67,63,66,130,429,797,1169,1780,2631,3734,5364,9211
"507",56,44,68,80,129,410,915,1132,1751,2611,3554,5426,9533
"508",28,41,68,67,114,369,788,1289,1656,2552,3379,5554,9165
"509",27,41,56,72,167,416,773,1173,1739,2503,3444,5813,9037
"510",38,42,56,74,137,439,872,1261,1601,2345,3644,5455,9661
"511",43,44,79,96,151,404,783,1384,1608,2606,3691,5855,9172
"512",31,46,58,51,144,400,802,1108,1769,2682,3656,6339,10081
"513",31,52,54,56,107,473,867,1265,1640,2549,3428,5384,9252
"514",30,73,66,71,131,421,851,1149,1753,2454,3469,5575,9638
"515",37,58,52,56,114,502,850,1201,1696,2337,3397,5510,9137
"516",32,61,63,65,140,404,720,1268,1767,2674,3575,5636,8738
"517",35,62,54,69,96,413,800,1168,1708,2505,3717,5228,9517
"518",36,70,51,67,100,422,895,1206,1747,2646,3537,5414,9606
"519",32,32,71,67,107,395,869,1140,1804,2397,3585,5640,9163
"520",36,34,59,64,111,401,786,1254,1712,2476,3435,5719,10233
"521",38,35,71,78,104,394,785,1087,1870,2563,3534,5550,9539
"522",39,36,83,66,130,428,889,1190,1694,2760,3634,5591,9270
"523",34,38,57,67,109,407,811,1302,1892,2457,3398,4975,10020
"524",37,49,61,68,85,388,867,1253,1682,2481,3457,6105,9780
"525",39,51,46,82,110,370,828,1181,1722,2571,3536,5427,9720
"526",36,59,54,67,113,454,894,1124,1709,2649,3548,5721,9170
"527",37,62,53,68,127,414,810,1203,1718,2554,3506,5688,9233
"528",40,66,68,86,116,373,817,1073,1749,2417,3654,5307,9805
"529",40,33,58,85,91,497,815,1202,1734,2656,3539,5623,9508
"530",37,48,47,66,118,437,835,1273,1651,2537,3455,6061,9298
"531",37,49,49,59,119,417,934,1143,1810,2530,3624,5735,9767
"532",32,56,60,52,104,408,849,1161,1663,2347,3581,5641,9067
"533",29,73,46,62,130,484,841,1224,1776,2392,3326,5253,9176
"534",37,77,49,55,111,371,777,1197,1891,2600,3399,5679,9125
"535",53,63,49,52,135,475,808,1216,1794,2360,3334,5719,8876
"536",24,53,64,65,130,475,921,1291,1773,2520,3205,5589,9642
"537",24,61,66,66,141,385,877,1159,1849,2520,3092,5438,9004
"538",26,68,69,65,110,392,858,1236,1733,2486,3316,5435,8728
"539",26,35,73,84,122,429,730,1323,1612,2611,3568,5777,8764
"540",25,34,76,66,121,377,956,1213,1724,2504,3635,5912,9109
"541",30,36,71,68,133,538,838,1121,1835,2598,3463,5595,9074
"542",26,38,32,68,112,424,882,1322,1837,2527,3442,5182,9819
"543",28,25,59,74,94,528,813,1300,1864,2570,3326,5520,9157
"544",30,27,52,71,103,377,820,1189,1677,2720,3530,5832,9883
"545",31,45,58,70,110,479,761,1130,1882,2647,3521,5186,9310
"546",39,41,52,74,139,337,782,1141,1852,2317,3607,5572,9903
"547",40,44,43,99,104,387,852,1111,1807,2411,3370,5658,9116
"548",43,51,35,74,116,479,778,1232,1823,2522,3345,5686,8757
"549",36,66,53,72,99,406,781,1339,1696,2534,3409,5512,9528
"550",32,74,56,56,93,501,821,1231,1852,2413,3529,5613,9655
"551",40,72,43,62,102,409,790,1141,1725,2427,3550,5609,9644
"552",36,57,57,63,120,454,880,1157,1858,2302,3465,5749,9438
"553",28,64,44,62,125,404,816,1117,1795,2540,3354,5672,9400
"554",34,60,43,60,122,421,851,1243,1723,2771,3237,5465,8738
"555",34,84,38,63,113,463,1043,1235,1804,2396,3320,5598,9435
"556",48,46,42,80,97,391,903,1181,1762,2620,3461,5581,9427
"557",27,60,58,84,94,393,738,1135,1805,2913,3456,5135,9446
"558",26,47,71,64,108,427,870,1268,1832,2396,3564,5333,9417
"559",28,47,65,66,111,430,802,1133,1758,2486,3870,5488,9205
"560",24,48,81,64,135,387,834,1219,1827,2467,3566,5874,9452
"561",32,67,52,67,108,403,786,1191,1720,2532,3382,5567,9226
"562",32,60,58,73,101,391,868,1232,1686,2499,3363,5425,9209
"563",34,56,61,86,102,379,833,1120,1835,2550,3640,5735,9490
"564",30,58,65,78,116,353,782,1153,1745,2702,3575,5258,9693
"565",39,64,65,102,115,450,832,1211,1691,2763,3406,5410,9303
"566",34,72,68,57,124,403,803,1130,1659,2560,3346,5778,9130
"567",38,36,50,73,113,368,922,1195,1792,2498,3410,6035,8861
"568",38,37,60,71,128,363,795,1190,1880,2587,3378,6393,8902
"569",40,32,53,72,145,429,889,1186,1673,2480,3580,5700,8967
"570",41,35,49,70,142,452,875,1142,1700,2433,3424,6037,9081
"571",41,48,68,62,112,401,783,1186,2023,2451,3528,5864,9220
"572",40,57,78,57,112,391,831,1252,1669,2339,3400,5551,8864
"573",32,56,41,79,134,442,733,1154,1749,2641,3799,5747,9599
"574",24,60,38,66,108,450,814,1348,1668,2535,3720,5987,8532
"575",31,61,42,69,125,495,808,1442,1796,2542,3377,5986,9547
"576",32,68,46,72,120,403,888,1234,1741,2449,3501,5197,9866
"577",33,36,63,75,117,425,884,1150,1758,2508,3520,5237,9927
"578",34,36,68,62,128,406,909,1280,1743,2446,3346,5915,9780
"579",53,37,71,63,126,534,870,1199,1800,2534,3553,5360,9235
"580",29,43,56,69,110,448,863,1332,1877,2570,3428,6000,9116
"581",28,77,70,70,146,421,869,1190,1814,2516,3698,5065,9145
"582",28,60,68,86,126,453,940,1188,1612,2317,3348,5525,8927
"583",27,38,83,82,130,450,868,1164,1630,2913,3707,5403,9613
"584",26,46,58,68,164,521,896,1199,1798,2549,3742,5690,9211
"585",26,45,63,53,114,466,890,1243,1826,2549,3190,5204,9612
"586",26,43,65,45,120,421,921,1186,1785,2441,3418,5460,9099
"587",32,48,53,71,113,430,808,1275,1987,2480,3461,5578,9109
"588",40,46,49,71,106,365,830,1119,1993,2482,3365,5657,9264
"589",38,71,45,61,128,452,841,1168,1729,2380,3871,5421,9363
"590",38,55,45,59,130,507,859,1197,1726,2686,3371,5713,8730
"591",55,72,62,60,129,405,738,1185,1766,2614,3573,5782,9001
"592",31,64,79,64,116,367,763,1126,1768,2454,3658,5694,8839
"593",38,33,80,75,147,447,816,1173,1916,2305,3388,5568,9134
"594",35,38,59,68,150,417,845,1206,1787,2320,3323,5842,9930
"595",39,37,45,62,130,383,851,1260,1790,2455,3479,5580,9175
"596",36,40,48,82,107,398,788,1202,1711,2576,3676,5557,9614
"597",28,42,48,68,122,409,828,1205,1585,2616,3624,5962,9107
"598",31,38,66,62,117,501,831,1060,1735,2674,3637,4834,9857
"599",29,41,52,85,115,353,855,1190,1654,2761,3418,5284,9517
"600",32,43,62,80,124,398,800,1137,1841,2444,3881,5594,9105
"601",37,48,59,65,100,399,778,1311,1790,2541,3256,5851,9332
"602",32,51,59,60,123,434,886,1138,1950,2672,3267,5520,8884
"603",35,51,80,70,114,383,746,1259,1785,2408,3248,5666,9810
"604",31,57,56,56,99,391,902,1390,1744,2676,3517,5703,9276
"605",38,53,50,56,117,450,938,1247,1736,2713,3398,5174,10255
"606",35,66,44,60,138,421,804,1345,1728,2491,3330,5876,9867
"607",31,66,60,61,123,355,804,1159,1580,2381,3392,5296,9280
"608",36,36,70,79,134,436,860,1210,1764,2780,3666,5830,10585
"609",36,32,73,63,107,365,830,1158,1801,2467,3317,5460,9305
"610",35,33,74,61,112,386,819,1108,1817,2497,3683,5774,8887
"611",41,36,79,78,105,435,932,1224,1730,2690,3344,5559,8694
"612",38,43,78,64,121,385,909,1186,1797,2381,3571,5731,8976
"613",39,54,68,60,115,406,786,1159,1688,2540,3453,5575,9416
"614",34,54,55,67,124,404,789,1138,1793,2449,3566,6076,10044
"615",45,79,64,100,119,420,786,1250,1794,2276,3333,5393,9076
"616",57,62,51,93,102,501,898,1277,1772,2558,3631,5543,8967
"617",35,70,60,79,139,444,784,1124,1658,2441,3518,5578,9393
"618",39,41,71,73,134,478,815,1194,1798,2480,3398,5398,9433
"619",30,45,59,97,183,469,811,1337,1816,2561,3568,5505,10879
"620",30,45,52,64,106,379,824,1338,1876,2383,3358,5664,9671
"621",33,51,46,57,111,468,898,1167,1957,2321,3503,5700,10208
"622",33,51,57,54,111,445,863,1140,1695,2525,3400,5405,9852
"623",32,60,44,57,134,421,795,1225,1993,2539,3585,5538,9260
"624",36,62,61,58,112,435,901,1090,1587,2550,3426,6241,9650
"625",35,60,41,61,131,447,840,1289,1772,2647,3401,5410,10422
"626",36,60,50,77,106,404,820,1198,1661,2431,3671,5478,9049
"627",30,61,57,67,112,368,870,1266,1757,2788,3432,5572,10027
"628",34,42,43,67,166,396,814,1235,1735,2372,3526,5421,9039
"629",35,47,53,81,134,428,733,1160,1813,2612,3547,5662,10826
"630",35,44,41,64,127,415,764,1184,1849,2350,3679,5734,8985
"631",39,41,52,64,111,389,788,1342,1630,2782,3187,5829,9963
"632",38,43,46,87,102,486,795,1282,1723,2560,3475,5646,9150
"633",42,30,44,70,135,454,767,1166,1901,2385,3871,5620,9883
"634",34,39,45,99,144,448,774,1174,1686,2352,3484,5940,9365
"635",39,41,57,83,114,373,726,1192,1791,2451,3434,5350,8860
"636",39,41,69,86,106,423,901,1130,1839,2275,3299,5406,9693
"637",41,44,53,47,95,435,735,1167,1983,2540,3670,5816,8698
"638",39,48,65,44,135,452,836,1243,1881,2570,3435,5867,9817
"639",27,47,59,55,108,423,858,1181,1861,2377,3286,6045,9133
"640",34,54,83,53,126,426,870,1254,1694,2521,3462,5899,8996
"641",32,50,53,54,112,402,869,1284,1843,2551,3289,5265,9278
"642",34,65,43,73,94,434,845,1120,1761,2557,3498,5183,9365
"643",33,36,60,68,104,446,756,1243,1645,2645,3858,5541,9698
"644",33,42,68,59,109,374,813,1337,1775,2620,3433,5535,9478
"645",33,39,66,70,116,406,883,1188,1914,2489,3686,5107,8982
"646",35,57,67,64,112,448,787,1488,1682,2513,3357,5756,9514
"647",33,46,55,77,106,383,881,1199,1650,2441,3471,5329,8823
"648",30,44,51,74,117,448,815,1164,1741,2715,3210,5652,9082
"649",39,52,68,88,121,439,796,1214,1835,2487,3387,5179,8927
"650",57,53,77,55,92,394,804,1233,1864,2361,3514,5307,9303
"651",27,56,82,60,104,425,823,1153,1769,2431,3598,5329,9484
"652",27,52,40,73,114,426,844,1342,1673,2650,3491,5531,9622
"653",29,60,53,63,103,500,786,1213,1811,2564,3372,5618,9786
"654",34,68,64,62,121,428,834,1293,1752,2662,3483,5369,9472
"655",42,32,50,58,129,390,845,1245,1664,2430,3318,5868,9801
"656",37,29,41,76,109,435,771,1139,1649,2527,3608,5660,9205
"657",38,35,62,65,128,469,874,1250,1857,2712,3358,5228,9505
"658",36,31,70,62,122,407,760,1227,1927,2395,3383,5745,9049
"659",39,41,55,66,149,412,854,1138,1702,2535,3571,5691,9619
"660",39,43,52,66,119,440,870,1121,1660,2493,3371,5475,8984
"661",30,53,69,66,105,387,799,1158,1794,2680,3472,5582,9338
"662",27,58,69,61,146,380,948,1104,1738,2594,3526,5470,9171
"663",28,58,47,69,103,413,740,1107,1683,2400,3536,5523,8937
"664",30,71,59,72,116,394,885,1193,1739,2420,3529,5575,8980
"665",29,54,50,80,111,500,685,1111,1779,2557,3431,5951,10006
